-40,831.5,80.5,0,10.48
-35,780.5,79.2,2,10.57
-30,731.6,77.9,3.68,10.65
-28,712.8,77.4,4,10.66
-26,694.3,76.9,6,10.75
-24,676.2,76.4,8,10.84
-22,658.6,75.9,10,10.92
-20,641.3,75.4,12,11
-18,624.5,74.9,14,11.08
-16,608.1,74.4,16,11.16
-14,592.1,73.9,18,11.24
-12,576.5,73.4,20,11.32
-10,561.2,72.9,22,11.4
-8,546.4,72.4,24,11.47
-6,532,71.9,26,11.55
-4,518,71.4,28,11.63
-2,504.3,70.9,30,11.7
0,491,70.4,32,11.78
2,478.1,70,34,11.85
3.68,467.5,69.6,36,11.93
4,465.5,69.5,38,12
6,453.3,69,40,12.08
8,441.4,68.5,42,12.16
10,429.9,68.1,44,12.23
12,418.7,67.6,46,12.31
14,407.8,67.1,48,12.39
16,397.2,66.7,50,12.47
18,386.9,66.2,55,12.68
20,376.9,65.7,60,12.89
22,367.3,65.3,65,13.12
24,357.8,64.8,70,13.36
26,348.7,64.3,75,13.61
28,339.8,63.9,80,13.89
30,331.2,63.4,85,14.18
32,322.9,63,90,14.49
34,314.7,62.5,95,14.83
36,306.9,62,100,15.2
38,299.2,61.6,,
40,291.8,61.1,,
42,284.6,60.6,,
44,277.6,60.2,,
46,270.8,59.7,,
48,264.2,59.3,,
50,257.8,58.8,,
55,242.5,57.6,,
60,228.4,56.5,,
65,215.2,55.3,,
70,203,54.1,,
75,191.6,52.9,,
80,181,51.7,,
85,171.1,50.5,,
90,161.9,49.2,,
95,153.3,48,,
100,145.3,46.7,,
105,137.8,45.4,,
110,130.8,44.1,,
115,124.2,42.8,,